Year,GMSL,SigmaError
1950.583333,-85.16591528,18.04805444
1950.666667,-84.32406953,18.04442487
1950.75,-85.24810582,18.03135855
1950.833333,-84.32346318,17.9953144
1950.916667,-83.01479755,17.98223217
1951,-86.14885788,17.96407169
1951.083333,-85.44224626,17.96605067
1951.166667,-85.03478156,17.95271058
1951.25,-83.94189231,17.92573533
1951.333333,-83.85250462,17.92608407
1951.416667,-83.84205467,17.91253829
1951.5,-83.35330101,17.89417362
1951.583333,-83.37844341,17.88118815
1951.666667,-82.45476489,17.86863081
1951.75,-82.39664156,17.85637137
1951.833333,-82.2174029,17.83120766
1951.916667,-83.78926464,17.84286763
1952,-81.10837413,17.82707483
1952.083333,-81.90674897,17.81894178
1952.166667,-80.11156895,17.81494484
1952.25,-82.01242974,17.80545768
1952.333333,-83.98714284,17.7848308
1952.416667,-82.80132651,17.77315221
1952.5,-81.98468157,17.76047963
1952.583333,-82.18117676,17.74304382
1952.666667,-80.18870362,17.72213856
1952.75,-81.19236775,17.70878873
1952.833333,-78.46164818,17.68391259
1952.916667,-79.16684522,17.67138176
1953,-80.25996309,17.65506105
1953.083333,-80.68350303,17.65300212
1953.166667,-82.85875616,17.63875926
1953.25,-80.97316595,17.62262262
1953.333333,-80.95569092,17.60953707
1953.416667,-81.5968745,17.58907588
1953.5,-81.15656395,17.58434086
1953.583333,-81.43432372,17.58926257
1953.666667,-81.18389491,17.5757727
1953.75,-80.43963057,17.54253901
1953.833333,-80.0814042,17.53077785
1953.916667,-82.13947937,17.51625345
1954,-79.77749575,17.50003427
1954.083333,-79.29384764,17.48674492
1954.166667,-80.35521867,17.47448402
1954.25,-81.38641476,17.46242042
1954.333333,-78.22327941,17.45000407
1954.416667,-79.35881418,17.43732627
1954.5,-81.95795844,17.42435517
1954.583333,-80.74306748,17.41177523
1954.666667,-80.88422865,17.3986987
1954.75,-79.96593692,17.38562257
1954.833333,-80.1587535,17.37432265
1954.916667,-81.36341394,17.36125136
1955,-80.29865308,17.34471853
1955.083333,-78.87099899,17.33153561
1955.166667,-78.91242298,17.31854466
1955.25,-81.8598097,17.30650682
1955.333333,-79.86794902,17.29368358
1955.416667,-78.01352805,17.28017076
1955.5,-79.91416626,17.26731052
1955.583333,-81.31903864,17.25392802
1955.666667,-81.76047484,17.23667306
1955.75,-81.49398781,17.22385103
1955.833333,-80.61632916,17.21077634
1955.916667,-80.71738727,17.1977583
1956,-79.43928688,17.18352716
1956.083333,-78.20723099,17.17072203
1956.166667,-81.19734597,17.1576483
1956.25,-78.01974174,17.14439705
1956.333333,-79.62187291,17.12875706
1956.416667,-80.33982103,17.11670549
1956.5,-77.66767002,17.10312251
1956.583333,-77.31708567,17.09046812
1956.666667,-78.94035857,17.0773954
1956.75,-79.23799718,17.06783213
1956.833333,-77.38828513,17.05488483
1956.916667,-77.49121305,17.04432238
1957,-80.35611064,17.03031417
1957.083333,-74.4403637,17.01574672
